epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,214,,,,0.8637999892234802,0.35998696088790894
0,214,,,0.5068479180335999,,
1,429,,,,0.8913999795913696,0.2874187231063843
1,429,,,0.31229910254478455,,
2,644,,,,0.900600016117096,0.25983160734176636
2,644,,,0.2719574272632599,,
3,859,,,,0.8966000080108643,0.26078906655311584
3,859,,,0.2486734241247177,,
4,1074,,,,0.9107999801635742,0.23094291985034943
4,1074,,,0.2269205003976822,,
5,1289,,,,0.909600019454956,0.23618750274181366
5,1289,,,0.21323099732398987,,
6,1504,,,,0.9210000038146973,0.21140678226947784
6,1504,,,0.20027895271778107,,
7,1719,,,,0.921999990940094,0.21167993545532227
7,1719,,,0.18822656571865082,,
8,1934,,,,0.9232000112533569,0.20036549866199493
8,1934,,,0.17947088181972504,,
9,2149,,,,0.9147999882698059,0.23182758688926697
9,2149,,,0.17188498377799988,,
10,2364,,,,0.9269999861717224,0.20059731602668762
10,2364,,,0.16462326049804688,,
11,2579,,,,0.9294000267982483,0.19581301510334015
11,2579,,,0.15962906181812286,,
12,2794,,,,0.9192000031471252,0.2234320491552353
12,2794,,,0.15102837979793549,,
13,3009,,,,0.9190000295639038,0.21543750166893005
13,3009,,,0.14940091967582703,,
14,3224,,,,0.9319999814033508,0.1962854564189911
14,3224,,,0.14217837154865265,,
15,3439,,,,0.9279999732971191,0.2128176987171173
15,3439,,,0.13635002076625824,,
16,3654,,,,0.9251999855041504,0.20174796879291534
16,3654,,,0.1314765214920044,,
17,3869,,,,0.9314000010490417,0.1850695013999939
17,3869,,,0.12388123571872711,,
18,4084,,,,0.9341999888420105,0.18704290688037872
18,4084,,,0.11914383620023727,,
19,4299,,,,0.923799991607666,0.2331574708223343
19,4299,,,0.11630565673112869,,
20,4300,0.9277999997138977,0.21282340586185455,,,
